Transformador,Frecuencia (Hz),PSD (Power)
10023,0.1533203125,20.6404643495208
10023,0.154296875,19.8002941548718
10023,0.1552734375,19.3316559690169
10023,0.15625,20.3360145612429
10023,0.1572265625,22.9984304686213
10023,0.158203125,21.1177737769679
10023,0.1591796875,21.9298933513506
10023,0.16015625,25.3541123024813
10023,0.1611328125,26.337844442033
10023,0.162109375,23.0856787179635
10023,0.1630859375,23.306715735038
10023,0.1640625,37.1018739082861
10023,0.1650390625,133.659843228916
10023,0.166015625,307.345347971377
10023,0.1669921875,343.817592725401
10023,0.16796875,184.867224761036
10023,0.1689453125,53.4062958046594
10023,0.169921875,20.455113178616
10023,0.1708984375,17.3139447180616
10023,0.171875,17.8951911366003
10023,0.1728515625,20.9085623252245
10023,0.173828125,21.0587606121934
10023,0.1748046875,21.8468647978081
10023,0.17578125,21.0456440463538
10023,0.1767578125,21.4436640814767
10023,0.177734375,21.4924329804724
10023,0.1787109375,20.7166034154697
10023,0.1796875,17.2014585306129
10023,0.1806640625,15.5274583851048
10023,0.181640625,15.4848705956523
10023,0.1826171875,16.9232622112401
10023,0.18359375,17.8345498965487
10023,0.1845703125,19.8458869908924
10023,0.185546875,19.2286743556589
10023,0.1865234375,16.8157298325322
10023,0.1875,15.814706100179
10023,0.1884765625,16.8494599664651
10023,0.189453125,15.9656895896336
10023,0.1904296875,17.0295916058856
10023,0.19140625,16.9476384422938
10023,0.1923828125,15.4078394587619
10023,0.193359375,13.7077048581989
10023,0.1943359375,14.9179947434473
10023,0.1953125,16.3827939460298
10023,0.1962890625,18.4552513587832
10023,0.197265625,17.9119491275988
10023,0.1982421875,17.0211667740566
10023,0.19921875,17.8126543420078
10023,0.2001953125,19.4412057203165
10023,0.201171875,19.4873764859627
10023,0.2021484375,20.3057229478008
10023,0.203125,18.782747125023
10023,0.2041015625,16.9496288017722
10023,0.205078125,18.7047591494269
10023,0.2060546875,51.2021740189851
10023,0.20703125,171.087632314374
10023,0.2080078125,313.934106743793
10023,0.208984375,279.749302131235
10023,0.2099609375,118.391488267867
10023,0.2109375,29.0756658554269
10023,0.2119140625,15.4516521247633
10023,0.212890625,15.6899675088769
10023,0.2138671875,18.4485336087347
10023,0.21484375,18.9996350611
10023,0.2158203125,17.5879023587648
10023,0.216796875,15.7349100051982
10023,0.2177734375,16.0241810964097
10023,0.21875,17.8264045156821
