Value,Type
29.78,Original
33.46,Original
32.239999999999995,Original
33.46,Original
36.21,Original
33.2,Original
36.02,Original
40.38000000000001,Original
37.36999999999999,Original
35.760000000000005,Original
37.72,Original
37.48,Original
38.66,Original
36.61,Original
33.13,Original
33.02000000000001,Original
31.890000000000008,Original
28.37,Original
28.841,Original
29.764000000000003,Original
29.314000000000004,Original
29.744,Original
29.154,Original
29.534,Original
30.024,Original
33.89399999999999,Original
32.98400000000001,Original
32.17400000000001,Original
32.984,Original
33.324000000000005,Original
32.684000000000005,Original
32.874,Original
39.77400000000001,Original
37.484,Original
39.16400000000001,Original
40.104000000000006,Original
39.864,Original
39.854,Original
40.124,Original
39.304,Original
34.004000000000005,Original
29.314000000000007,Original
29.554,Original
29.154000000000003,Original
29.373999999999995,Original
31.794,Original
32.38399999999999,Original
35.24400000000001,Original
40.124,Original
49.87400000000001,Original
86.24399999999999,Original
132.57400000000004,Original
136.42399999999998,Original
135.904,Original
135.134,Original
141.844,Original
144.89400000000006,Original
134.56399999999996,Original
118.094,Original
86.474,Original
57.74399999999999,Original
36.194,Original
32.024,Original
31.294000000000004,Original
30.873999999999995,Original
31.483999999999995,Original
34.39399999999999,Original
31.184,Original
30.934,Original
32.194,Original
32.62400000000001,Original
34.06400000000001,Original
37.483,Original
52.75,Original
96.51,Original
134.05,Original
138.44000000000003,Original
140.59999999999997,Original
140.91999999999996,Original
148.35999999999996,Original
147.38,Original
133.17000000000004,Original
119.98999999999998,Original
91.53999999999996,Original
65.53000000000002,Original
48.75999999999999,Original
41.06,Original
32.929999999999986,Original
32.23,Original
31.719999999999995,Original
30.57,Original
34.160000000000004,Original
29.700000000000003,Original
32.830000000000005,Original
33.26,Original
33.68,Original
36.940000000000005,Original
55.88,Original
94.55,Original
132.64,Original
134.47000000000003,Original
134.60999999999996,Original
134.42,Original
141.48000000000002,Original
141.99,Original
130.93,Original
120.46,Original
93.79999999999998,Original
57.3,Original
34.509999999999984,Original
32.96,Original
32.86000000000001,Original
33.63999999999999,Original
32.7,Original
31.9,Original
28.7,Original
28.500000000000004,Original
31.43999999999999,Original
31.48,Original
32.919999999999995,Original
39.02000000000001,Original
54.31,Original
103.21,Original
130.58000000000004,Original
135.98,Original
140.39,Original
139.79999999999998,Original
144.63,Original
147.14000000000004,Original
134.81000000000003,Original
121.34,Original
87.11999999999999,Original
59.86,Original
43.99,Original
36.58,Original
33.82,Original
32.08999999999999,Original
29.940000000000005,Original
29.12,Original
28.14,Original
28.49000000000001,Original
30.64,Original
31.41,Original
32.50999999999999,Original
37.67999999999999,Original
52.45,Original
94.90999999999998,Original
130.79,Original
133.00999999999996,Original
131.37999999999997,Original
132.17000000000002,Original
136.81,Original
143.23,Original
125.65,Original
96.05,Original
62.46,Original
42.61000000000001,Original
34.10999999999999,Original
37.81000000000001,Original
30.48,Original
29.649999999999995,Original
29.450000000000003,Original
29.34,Original
28.68,Original
29.48,Original
28.9,Original
28.87,Original
28.950000000000003,Original
31.01,Original
34.330000000000005,Original
34.510000000000005,Original
33.779999999999994,Original
36.4,Original
38.01,Original
36.11999999999999,Original
39.370000000000005,Original
40.56999999999999,Original
39.56,Original
39.76999999999999,Original
35.17999999999999,Original
36.29,Original
33.620000000000005,Original
33.74,Original
33.620000000000005,Original
32.39,Original
28.83999999999999,Original
29.769999999999992,Original
29.219999999999995,Original
29.16,Original
30.050000000000004,Original
29.76,Original
29.19,Original
30.24,Original
34.02,Original
32.42999999999999,Original
33.93000000000001,Original
34.21,Original
34.86000000000001,Original
39.09,Original
43.56,Original
41.43,Original
40.97,Original
41.92000000000001,Original
43.96,Original
41.71,Original
41.48,Original
43.24,Original
41.03999999999999,Original
39.540000000000006,Original
35.27,Original
33.0,Original
29.89,Original
29.96,Original
32.84,Original
31.61,Original
36.080000000000005,Original
46.46,Original
57.31000000000001,Original
94.28,Original
133.19000000000003,Original
136.73,Original
140.44000000000003,Original
138.66,Original
144.76999999999995,Original
146.12000000000003,Original
133.29,Original
119.75000000000004,Original
90.21999999999998,Original
58.53,Original
37.38999999999999,Original
31.700000000000006,Original
30.73999999999999,Original
30.31000000000001,Original
30.969999999999995,Original
33.39,Original
30.59,Original
30.78,Original
33.54,Original
32.64000000000001,Original
34.28,Original
39.48000000000001,Original
56.03,Original
92.61,Original
132.82,Original
137.64,Original
135.27000000000004,Original
137.13000000000002,Original
144.37,Original
143.03,Original
133.96999999999997,Original
119.63000000000002,Original
89.26999999999998,Original
60.74999999999999,Original
45.81,Original
40.01,Original
35.11000000000001,Original
33.459999999999994,Original
32.160000000000004,Original
32.2,Original
34.59,Original
30.019999999999992,Original
33.01999999999999,Original
32.660000000000004,Original
33.379999999999995,Original
38.4,Original
53.290000000000006,Original
93.37,Original
124.21999999999996,Original
135.58,Original
137.03,Original
134.39,Original
140.14,Original
143.32999999999996,Original
128.89,Original
117.79,Original
88.31000000000002,Original
60.13,Original
37.400000000000006,Original
35.38,Original
34.22,Original
37.1,Original
37.41000000000001,Original
36.330000000000005,Original
35.150000000000006,Original
34.51,Original
35.48999999999999,Original
34.400000000000006,Original
34.79,Original
41.320000000000014,Original
54.070000000000014,Original
93.2,Original
130.72,Original
139.17000000000002,Original
139.07999999999998,Original
136.33999999999995,Original
142.90000000000003,Original
144.47000000000003,Original
127.12999999999997,Original
115.21999999999998,Original
88.74000000000001,Original
64.00999999999999,Original
43.65999999999999,Original
39.03,Original
32.21,Original
32.040000000000006,Original
33.92,Original
32.41,Original
29.91,Original
29.7,Original
32.900000000000006,Original
32.79,Original
33.620000000000005,Original
36.87,Original
50.46999999999999,Original
84.97999999999999,Original
123.37999999999997,Original
128.1,Original
128.1,Original
129.45,Original
135.62,Original
134.89,Original
118.54,Original
99.95,Original
64.69000000000001,Original
42.99,Original
34.35999999999999,Original
40.09000000000001,Original
34.58000000000001,Original
28.860000000000003,Original
27.5,Original
28.2,Original
27.99,Original
27.74000000000001,Original
28.07,Original
28.290000000000003,Original
28.09,Original
28.92000000000001,Original
32.529999999999994,Original
31.19,Original
34.12,Original
35.34,Original
34.22,Original
35.43000000000001,Original
37.42,Original
35.65,Original
33.690000000000005,Original
34.029999999999994,Original
34.37,Original
34.709999999999994,Original
31.699999999999992,Original
31.79,Original
34.099999999999994,Original
33.120000000000005,Original
28.260000000000005,Original
28.43,Original
28.030000000000005,Original
28.43,Original
27.890000000000008,Original
28.31,Original
27.99,Original
29.080000000000005,Original
32.349999999999994,Original
30.680000000000007,Original
30.99,Original
31.879999999999992,Original
31.6,Original
33.260000000000005,Original
36.84,Original
33.65,Original
33.809999999999995,Original
32.87,Original
35.55999999999999,Original
36.73,Original
39.24,Original
40.02000000000001,Original
37.97,Original
36.57999999999999,Original
31.32,Original
32.43000000000001,Original
27.95,Original
28.34,Original
32.15,Original
30.5,Original
34.720000000000006,Original
40.90999999999999,Original
53.46,Original
92.19,Original
126.97999999999998,Original
130.47999999999996,Original
133.82999999999996,Original
133.76999999999998,Original
138.24,Original
139.11,Original
131.17,Original
115.65,Original
86.03000000000002,Original
52.940000000000005,Original
35.11,Original
31.680000000000003,Original
31.77999999999999,Original
31.04,Original
33.11,Original
34.81,Original
30.14,Original
29.81,Original
32.72,Original
31.71,Original
33.73,Original
36.03,Original
49.87000000000002,Original
92.1,Original
126.36,Original
135.44,Original
137.89000000000004,Original
137.98999999999998,Original
145.24,Original
144.51000000000002,Original
132.85,Original
119.75,Original
92.95000000000005,Original
60.330000000000005,Original
52.15,Original
41.2,Original
34.67,Original
33.64999999999999,Original
30.79,Original
30.75,Original
34.58,Original
31.07,Original
34.12,Original
33.730000000000004,Original
35.02,Original
36.32000000000001,Original
51.71999999999999,Original
89.57,Original
125.27999999999996,Original
128.14,Original
129.22000000000003,Original
128.99,Original
136.68,Original
140.30000000000004,Original
128.31999999999996,Original
115.89999999999998,Original
81.50999999999996,Original
49.670000000000016,Original
39.23000000000001,Original
33.09,Original
31.87,Original
33.75999999999999,Original
35.43,Original
32.230000000000004,Original
33.73,Original
31.23999999999999,Original
32.41,Original
32.9,Original
33.29,Original
36.13,Original
53.280000000000015,Original
92.61,Original
128.23,Original
131.9,Original
133.36999999999998,Original
134.12,Original
140.79,Original
139.98000000000002,Original
125.97,Original
113.68,Original
86.42999999999996,Original
57.98000000000001,Original
41.92,Original
34.66000000000001,Original
29.5,Original
29.9,Original
28.22,Original
32.550000000000004,Original
28.46,Original
28.56999999999999,Original
31.12,Original
30.74000000000001,Original
32.21000000000001,Original
33.54,Original
51.29,Original
92.62999999999998,Original
123.42000000000002,Original
133.63,Original
135.09,Original
